 mod L/Lsol Teff t (year) Reff/Rsol k2conv k2rad Mrad/Msol Rrad/Reff
   180        0.430000 5282.0  5.9457288E+07          0.7900   0.01619000   0.08469000  0.8662054  7.2040E-001   0.000736
   182        0.430000 5281.0  6.0121598E+07          0.7900   0.01623000   0.08470000  0.8661434  7.2030E-001   0.000737
   185        0.430000 5279.0  6.1118064E+07          0.7900   0.01627000   0.08470000  0.8660623  7.2020E-001   0.000739
   187        0.430000 5279.0  6.1782375E+07          0.7900   0.01629000   0.08470000  0.8660028  7.2010E-001   0.000740
   189        0.430000 5278.0  6.2446685E+07          0.7900   0.01631000   0.08469000  0.8659557  7.2000E-001   0.000741
   192        0.430000 5278.0  6.3443151E+07          0.7900   0.01633000   0.08469000  0.8658888  7.1990E-001   0.000743
   194        0.430000 5277.0  6.4107462E+07          0.7900   0.01636000   0.08467000  0.8658488  7.1980E-001   0.000744
   197        0.430000 5277.0  6.5103928E+07          0.7900   0.01637000   0.08466000  0.8657959  7.1970E-001   0.000745
   199        0.430000 5276.0  6.5768238E+07          0.7900   0.01639000   0.08464000  0.8657625  7.1960E-001   0.000746
   203        0.430000 5276.0  6.7096860E+07          0.7900   0.01642000   0.08461000  0.8657117  7.1950E-001   0.000747
   207        0.430000 5276.0  6.8425481E+07          0.7900   0.01643000   0.08459000  0.8656539  7.1940E-001   0.000748
   208        0.430000 5276.0  6.8757636E+07          0.7900   0.01644000   0.08458000  0.8656426  7.1930E-001   0.000748
   215        0.430000 5275.0  7.1082723E+07          0.7900   0.01647000   0.08453000  0.8655560  7.1910E-001   0.000750
   221        0.430000 5275.0  7.3075655E+07          0.7900   0.01649000   0.08449000  0.8655111  7.1900E-001   0.000751
   225        0.440000 5275.0  7.4404276E+07          0.7900   0.01649000   0.08445000  0.8654873  7.1890E-001   0.000751
   228        0.440000 5276.0  7.5400742E+07          0.7900   0.01650000   0.08444000  0.8654636  7.1880E-001   0.000752
   239        0.440000 5276.0  7.9054450E+07          0.7900   0.01652000   0.08439000  0.8654280  7.1870E-001   0.000753
   256        0.440000 5275.0  8.4701091E+07          0.7900   0.01655000   0.08435000  0.8653567  7.1860E-001   0.000754
   268        0.440000 5275.0  8.8686954E+07          0.7900   0.01657000   0.08433000  0.8653122  7.1850E-001   0.000755
   283        0.440000 5275.0  9.3669284E+07          0.7900   0.01658000   0.08430000  0.8652409  7.1830E-001   0.000757
   302        0.440000 5273.0  2.5059167E+08          0.8000   0.01682000   0.08380000  0.8646873  7.1670E-001   0.000798
   303        0.450000 5276.0  4.0455146E+08          0.8000   0.01684000   0.08345000  0.8646448  7.1620E-001   0.000799
   304        0.450000 5280.0  5.5951434E+08          0.8000   0.01681000   0.08314000  0.8646661  7.1580E-001   0.000798
   305        0.450000 5284.0  7.1467783E+08          0.8100   0.01677000   0.08283000  0.8647480  7.1560E-001   0.000797
   306        0.460000 5288.0  8.6984132E+08          0.8100   0.01672000   0.08255000  0.8648299  7.1540E-001   0.000825
   307        0.460000 5293.0  1.0248042E+09          0.8100   0.01666000   0.08227000  0.8649276  7.1520E-001   0.000822
   308        0.460000 5297.0  1.1797671E+09          0.8100   0.01661000   0.08198000  0.8650272  7.1490E-001   0.000820
   309        0.470000 5301.0  1.3345293E+09          0.8100   0.01656000   0.08170000  0.8651207  7.1470E-001   0.000818
   310        0.470000 5305.0  1.4890910E+09          0.8100   0.01651000   0.08142000  0.8652409  7.1450E-001   0.000815
   311        0.470000 5310.0  1.6434235E+09          0.8100   0.01645000   0.08114000  0.8653523  7.1440E-001   0.000812
   312        0.480000 5314.0  1.7974215E+09          0.8200   0.01639000   0.08086000  0.8654636  7.1420E-001   0.000840
   313        0.480000 5318.0  1.9513716E+09          0.8200   0.01634000   0.08058000  0.8655660  7.1400E-001   0.000837
   314        0.480000 5323.0  2.1051308E+09          0.8200   0.01626000   0.08031000  0.8656871  7.1380E-001   0.000834
   315        0.490000 5327.0  2.2584887E+09          0.8200   0.01621000   0.08002000  0.8658108  7.1370E-001   0.000831
   316        0.490000 5331.0  2.4118328E+09          0.8200   0.01614000   0.07975000  0.8659220  7.1340E-001   0.000828
   317        0.490000 5336.0  2.5648429E+09          0.8200   0.01609000   0.07947000  0.8660288  7.1330E-001   0.000826
   318        0.500000 5340.0  2.7176555E+09          0.8300   0.01602000   0.07919000  0.8661566  7.1310E-001   0.000853
   319        0.500000 5344.0  2.8704680E+09          0.8300   0.01596000   0.07891000  0.8662696  7.1290E-001   0.000850
   320        0.500000 5349.0  3.0230829E+09          0.8300   0.01590000   0.07862000  0.8663950  7.1280E-001   0.000847
   321        0.510000 5353.0  3.1756979E+09          0.8300   0.01584000   0.07833000  0.8665369  7.1270E-001   0.000843
   322        0.510000 5357.0  3.3279177E+09          0.8300   0.01578000   0.07805000  0.8666389  7.1240E-001   0.000841
   323        0.520000 5362.0  3.4801375E+09          0.8300   0.01571000   0.07776000  0.8667816  7.1230E-001   0.000837
   324        0.520000 5366.0  3.6321597E+09          0.8400   0.01566000   0.07747000  0.8669039  7.1210E-001   0.000864
   325        0.520000 5370.0  3.7839844E+09          0.8400   0.01559000   0.07718000  0.8670263  7.1190E-001   0.000861
   326        0.530000 5375.0  3.9358090E+09          0.8400   0.01553000   0.07688000  0.8671126  7.1170E-001   0.000859
   327        0.530000 5379.0  4.0873259E+09          0.8400   0.01546000   0.07659000  0.8672491  7.1150E-001   0.000855
   328        0.530000 5383.0  4.2386680E+09          0.8400   0.01540000   0.07630000  0.8673913  7.1140E-001   0.000851
