 mod L/Lsol Teff t (year) Reff/Rsol k2conv k2rad Mrad/Msol Rrad/Rsol 1/Qs Mstar Indice_BGM
0.865
   72   0.373019 5166.9  8.0764120E+07  0.7641   0.01734404   0.08584245  0.8301442  7.1921E-001   0.000100     0.8650    33220
   73   0.373031 5166.9  8.1900256E+07  0.7646   0.01735378   0.08581641  0.8301134  7.1912E-001   0.000103     0.8650    33220
   74   0.373152 5166.9  8.3036328E+07  0.7681   0.01735950   0.08579682  0.8301027  7.1907E-001   0.000121     0.8650    33220
   75   0.373152 5167.0  8.4172448E+07  0.7681   0.01736304   0.08577280  0.8300718  7.1894E-001   0.000122     0.8650    33220
   76   0.373152 5167.4  8.5308560E+07  0.7681   0.01736865   0.08575089  0.8300651  7.1892E-001   0.000122     0.8650    33220
   77   0.373152 5167.4  8.6444624E+07  0.7682   0.01737123   0.08573092  0.8300638  7.1891E-001   0.000123     0.8650    33220
   78   0.373291 5167.4  8.7580728E+07  0.7690   0.01737490   0.08571372  0.8300538  7.1887E-001   0.000127     0.8650    33220
   79   0.374727 5167.4  8.8716856E+07  0.7690   0.01737639   0.08570287  0.8300177  7.1878E-001   0.000127     0.8650    33220
   80   0.374727 5167.4  8.9852928E+07  0.7690   0.01738083   0.08569232  0.8300005  7.1874E-001   0.000128     0.8650    33220
   81   0.374727 5167.4  9.0989056E+07  0.7690   0.01738669   0.08568337  0.8299982  7.1874E-001   0.000128     0.8650    33220
   82   0.374727 5167.4  9.2125184E+07  0.7690   0.01739003   0.08567559  0.8299869  7.1870E-001   0.000128     0.8650    33220
   83   0.374727 5167.4  9.3261264E+07  0.7691   0.01739240   0.08566416  0.8299848  7.1870E-001   0.000128     0.8650    33220
   84   0.374727 5167.4  9.4397360E+07  0.7698   0.01740009   0.08565531  0.8299846  7.1870E-001   0.000132     0.8650    33220
   85   0.374727 5167.4  9.5533552E+07  0.7698   0.01740650   0.08564775  0.8299821  7.1869E-001   0.000132     0.8650    33220
   86   0.374727 5167.4  9.6669632E+07  0.7698   0.01740796   0.08564208  0.8299809  7.1869E-001   0.000132     0.8650    33220
   87   0.374727 5167.4  9.7805680E+07  0.7698   0.01741167   0.08563514  0.8299696  7.1868E-001   0.000132     0.8650    33220
   88   0.374727 5167.4  9.8941824E+07  0.7698   0.01741342   0.08562910  0.8299647  7.1867E-001   0.000132     0.8650    33220
   89   0.374727 5167.4  1.0007798E+08  0.7698   0.01741659   0.08562586  0.8299111  7.1858E-001   0.000133     0.8650    33220
   90   0.374727 5167.4  1.0121397E+08  0.7698   0.01742120   0.08562092  0.8298811  7.1850E-001   0.000133     0.8650    33220
   91   0.374727 5167.4  1.0235026E+08  0.7698   0.01742840   0.08561834  0.8298811  7.1850E-001   0.000133     0.8650    33220
   92   0.374727 5167.4  1.0348611E+08  0.7698   0.01743009   0.08561645  0.8298811  7.1850E-001   0.000133     0.8650    33220
   93   0.374727 5167.4  1.0462241E+08  0.7698   0.01743600   0.08561496  0.8298811  7.1850E-001   0.000133     0.8650    33220
   94   0.374854 5167.4  1.0575840E+08  0.7698   0.01743997   0.08560695  0.8298794  7.1850E-001   0.000133     0.8650    33220
   95   0.376176 5166.9  1.0689453E+08  0.7698   0.01744470   0.08560663  0.8298625  7.1846E-001   0.000134     0.8650    33220
   96   0.376176 5166.9  1.0803075E+08  0.7698   0.01744920   0.08560254  0.8298625  7.1846E-001   0.000134     0.8650    33220
   97   0.376176 5166.9  1.0916683E+08  0.7698   0.01745561   0.08559469  0.8298625  7.1846E-001   0.000134     0.8650    33220
   98   0.376176 5166.9  1.1030299E+08  0.7698   0.01745822   0.08559242  0.8298625  7.1846E-001   0.000134     0.8650    33220
   99   0.376176 5166.9  1.1143898E+08  0.7698   0.01746464   0.08559131  0.8298625  7.1846E-001   0.000134     0.8650    33220
  100   0.376176 5166.9  1.1257505E+08  0.7698   0.01746727   0.08558313  0.8298625  7.1846E-001   0.000134     0.8650    33220
  101   0.376179 5166.9  1.1371122E+08  0.7698   0.01747370   0.08558104  0.8298620  7.1846E-001   0.000134     0.8650    33220
  102   0.381237 5158.5  2.8404445E+08  0.7737   0.01784470   0.08518697  0.8289590  7.1654E-001   0.000169     0.8650    33220
  103   0.383448 5160.8  4.5932880E+08  0.7781   0.01790382   0.08484363  0.8287819  7.1581E-001   0.000201     0.8650    33220
  104   0.386554 5163.2  6.3649901E+08  0.7798   0.01788362   0.08453654  0.8287765  7.1543E-001   0.000214     0.8650    33220
  105   0.386985 5168.4  8.1431667E+08  0.7802   0.01785091   0.08423240  0.8288047  7.1506E-001   0.000218     0.8650    33220
  106   0.392613 5170.4  9.9236774E+08  0.7802   0.01780758   0.08393557  0.8288851  7.1491E-001   0.000219     0.8649    33220
  107   0.396968 5179.8  1.1704008E+09  0.7837   0.01775844   0.08364677  0.8289534  7.1465E-001   0.000243     0.8649    33220
  108   0.397470 5180.3  1.3485279E+09  0.7840   0.01771215   0.08335356  0.8290276  7.1441E-001   0.000246     0.8649    33220
  109   0.398020 5185.5  1.5264829E+09  0.7842   0.01765721   0.08307017  0.8291010  7.1415E-001   0.000249     0.8649    33220
  110   0.405823 5190.8  1.7043987E+09  0.7898   0.01759779   0.08278655  0.8291914  7.1397E-001   0.000287     0.8649    33220
  111   0.406538 5192.2  1.8821920E+09  0.7898   0.01754392   0.08250348  0.8293015  7.1381E-001   0.000287     0.8649    33220
  112   0.408081 5197.9  2.0598071E+09  0.7902   0.01748127   0.08221512  0.8293732  7.1359E-001   0.000290     0.8649    33220
  113   0.411749 5203.2  2.2373519E+09  0.7902   0.01742638   0.08192936  0.8294786  7.1338E-001   0.000291     0.8648    33220
  114   0.416741 5207.2  2.4145454E+09  0.7937   0.01736440   0.08164953  0.8295668  7.1317E-001   0.000316     0.8648    33220
  115   0.417270 5214.5  2.5917284E+09  0.7950   0.01730851   0.08135713  0.8296667  7.1301E-001   0.000325     0.8648    33220
  116   0.421903 5215.2  2.7686154E+09  0.7950   0.01724706   0.08107930  0.8297646  7.1280E-001   0.000325     0.8648    33220
  117   0.422397 5219.2  2.9454426E+09  0.7989   0.01718399   0.08078702  0.8298853  7.1267E-001   0.000353     0.8648    33220
  118   0.427526 5226.6  3.1220516E+09  0.7998   0.01712530   0.08049776  0.8299499  7.1238E-001   0.000360     0.8648    33220
  119   0.431176 5228.3  3.2984404E+09  0.8002   0.01706122   0.08020794  0.8300426  7.1217E-001   0.000363     0.8648    33220
  120   0.432090 5236.4  3.4747159E+09  0.8037   0.01700407   0.07991494  0.8301654  7.1204E-001   0.000387     0.8648    33220
  121   0.439122 5239.1  3.6508352E+09  0.8050   0.01693812   0.07962357  0.8302663  7.1184E-001   0.000397     0.8647    33220
  122   0.441893 5240.3  3.8266857E+09  0.8050   0.01687648   0.07932873  0.8303568  7.1161E-001   0.000397     0.8647    33220
  123   0.442269 5250.7  4.0024369E+09  0.8089   0.01681226   0.07903286  0.8304635  7.1142E-001   0.000425     0.8647    33220
  124   0.444341 5252.4  4.1780037E+09  0.8098   0.01675495   0.07873184  0.8305662  7.1123E-001   0.000431     0.8647    33220
  125   0.451953 5252.4  4.3534351E+09  0.8118   0.01669086   0.07843812  0.8306693  7.1110E-001   0.000446     0.8647    33220
  126   0.453034 5262.3  4.5286093E+09  0.8146   0.01662504   0.07814278  0.8307596  7.1079E-001   0.000466     0.8647    33220
  127   0.456163 5264.3  4.7037512E+09  0.8150   0.01656338   0.07782997  0.8308735  7.1065E-001   0.000468     0.8647    33220
  128   0.462815 5269.3  4.8785480E+09  0.8150   0.01650181   0.07752723  0.8309630  7.1042E-001   0.000468     0.8646    33220
  129   0.464787 5275.5  5.0533340E+09  0.8150   0.01643428   0.07722268  0.8310574  7.1014E-001   0.000469     0.8646    33220
  130   0.466947 5276.5  5.2279721E+09  0.8189   0.01637384   0.07691257  0.8311682  7.0998E-001   0.000496     0.8646    33220
  131   0.471737 5281.9  5.4023301E+09  0.8228   0.01631462   0.07660415  0.8312747  7.0978E-001   0.000523     0.8646    33220
  132   0.476797 5287.7  5.5766717E+09  0.8250   0.01625060   0.07628755  0.8313611  7.0948E-001   0.000539     0.8646    33220
  133   0.476933 5293.6  5.7508654E+09  0.8250   0.01618162   0.07597666  0.8314990  7.0940E-001   0.000537     0.8646    33220
  134   0.483658 5297.8  5.9249551E+09  0.8250   0.01611958   0.07566006  0.8315681  7.0906E-001   0.000538     0.8645    33220
  135   0.485796 5299.9  6.0989015E+09  0.8306   0.01605341   0.07534604  0.8316816  7.0890E-001   0.000576     0.8645    33220
  136   0.489394 5305.7  6.2727875E+09  0.8328   0.01598784   0.07502905  0.8317875  7.0867E-001   0.000591     0.8645    33220
  137   0.496537 5310.0  6.4464476E+09  0.8350   0.01592555   0.07470480  0.8318778  7.0836E-001   0.000607     0.8645    33220
  138   0.497882 5316.9  6.6200146E+09  0.8350   0.01585872   0.07438266  0.8320100  7.0826E-001   0.000605     0.8645    33220
  139   0.507470 5321.8  6.7703071E+09  0.8407   0.01574421   0.07376758  0.8321626  7.0771E-001   0.000644     0.8644    33220
